ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,HMDB ids,KEGG ids,other ids
621,303.19641952219195,11179.920821716503,0.00014777780808117313,C19H28O3,-H(-),HMDB0000309; HMDB0000322; HMDB0000324; HMDB0000352; HMDB0000388; HMDB0003956; HMDB0004611; HMDB0004624; HMDB0006031; HMDB0006259; HMDB0006769; HMDB0012533; HMDB0012654; HMDB00309; HMDB0031464; HMDB00322; HMDB00324; HMDB00352; HMDB00388; HMDB0039589; HMDB0039735; HMDB0060089; HMDB0060339; HMDB03956; HMDB04611; HMDB04624; HMDB06031; HMDB06259; HMDB06769; HMDB12533; HMDB12654; HMDB31464; HMDB39589; HMDB39735; HMDB60089; HMDB60339,C05139; C05291; C05294; C14497; C14552; C18045; C18075,; CHEBI:27771; CHEBI:34477; CHEBI:607670; CHEBI:712193; CHEBI:712194; CHEBI:798
622,303.2338958802806,160890.02034404452,-0.0009431802806147971,C20H32O2,-H(-),HMDB0001043; HMDB0002177; HMDB0006036; HMDB0014996; HMDB0036702; HMDB0036721; HMDB0036754; HMDB0036829; HMDB0037824; HMDB0039687; HMDB0039702; HMDB0060102; HMDB01043; HMDB02177; HMDB06036; HMDB14996; HMDB36702; HMDB36721; HMDB36754; HMDB36829; HMDB37824; HMDB39687; HMDB39702; HMDB60102,C00219; C14605,; CHEBI:15843; CHEBI:34838; CHEBI:529213; CHEBI:71488; CHEBI:78259; D04947
622,303.2338958802806,160890.02034404452,0.00019961971941029333,C17H32O3,.F(-),HMDB0035473; HMDB0038685; HMDB35473; HMDB38685,,
623,305.0336942623352,4972.799968296425,-3.326233513689658e-05,C11H14O8S,-H(-),HMDB0059978; HMDB0059979; HMDB0127746; HMDB0127747; HMDB0128720; HMDB59978; HMDB59979,,
624,305.0796205719388,3810.7223266789842,0.001659228061214435,C11H18N2O6S,-H(-),HMDB0031870; HMDB31870,,
624,305.0796205719388,3810.7223266789842,-9.39719387815785e-05,C17H16O4,.Na/H-H(-),HMDB0030694; HMDB0033691; HMDB0037485; HMDB0038778; HMDB0040412; HMDB0126604; HMDB0130372; HMDB0130774; HMDB0131340; HMDB0133298; HMDB0133973; HMDB0135231; HMDB0135233; HMDB0135234; HMDB0135235; HMDB0135236; HMDB0135237; HMDB0135238; HMDB0140291; HMDB30694; HMDB33691; HMDB37485; HMDB38778; HMDB40412,C10246,; CHEBI:65899; CHEBI:70659
624,305.0796205719388,3810.7223266789842,0.0023113280612392373,C19H14O4,-H(-),HMDB0032848; HMDB0037111; HMDB0060575; HMDB32848; HMDB37111; HMDB60575,,
624,305.0796205719388,3810.7223266789842,-0.001007290688789908,C16H13O5,.F(-) [+1],HMDB0125118; HMDB0128112,,
625,305.1401307562999,3623.627985456245,-0.0006842562999622714,C17H22O5,-H(-),HMDB0035781; HMDB0036487; HMDB0036643; HMDB0134974; HMDB0134975; HMDB0134976; HMDB0134977; HMDB0134979; HMDB0134980; HMDB0134982; HMDB35781; HMDB36487; HMDB36643,C09499,
626,305.21327553140395,4707.782555186671,-0.0010582314039311314,C19H30O3,-H(-),HMDB0000523; HMDB0000540; HMDB0000550; HMDB0002984; HMDB0013156; HMDB0013199; HMDB0040640; HMDB00523; HMDB00540; HMDB00550; HMDB02984; HMDB13156; HMDB13199; HMDB40640,C14606,
626,305.21327553140395,4707.782555186671,8.456859603711564e-05,C16H30O4,.F(-),HMDB0000672; HMDB0041287; HMDB0059777; HMDB00672; HMDB41287; HMDB59777,C19615,; CHEBI:73722
