sample_col_name,INDEX,FILE_NAME,FILE_CODE,SAMPLE_NAME,LABEL,SEQUENCE,sample_type,batch_id,group_label
146 / P1_Full_0064,146,20200306_ecoli_4GHz_0146.d,20200320153716145-2492476,20200306_Plate1_022,P1_Full_0064,P001:183 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0064
147 / P1_Full_0064,147,20200306_ecoli_4GHz_0147.d,20200320153717207-2492477,20200306_Plate1_022,P1_Full_0064,P001:184 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0064
148 / P1_Full_0064,148,20200306_ecoli_4GHz_0148.d,20200320153718336-2492478,20200306_Plate1_022,P1_Full_0064,P001:185 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0064
149 / water,149,20200306_ecoli_4GHz_0149.d,20200320153719392-2492479,ctrl_p01_c1,water,P001:186 seq1 control,water,Batch7_0306 DATA,water
150 / water,150,20200306_ecoli_4GHz_0150.d,20200320153720389-2492480,ctrl_p01_c2,water,P001:187 seq1 control,water,Batch7_0306 DATA,water
151 / P1_SRM_0512,151,20200306_ecoli_4GHz_0151.d,20200320153721378-2492481,20200306_Plate1_011,P1_SRM_0512,P001:188 seq1,srm,Batch7_0306 DATA,P1_SRM_0512
152 / P1_SRM_0512,152,20200306_ecoli_4GHz_0152.d,20200320153722388-2492482,20200306_Plate1_011,P1_SRM_0512,P001:189 seq1,srm,Batch7_0306 DATA,P1_SRM_0512
153 / P1_SRM_0512,153,20200306_ecoli_4GHz_0153.d,20200320153723584-2492483,20200306_Plate1_011,P1_SRM_0512,P001:190 seq1,srm,Batch7_0306 DATA,P1_SRM_0512
154 / water,154,20200306_ecoli_4GHz_0154.d,20200320153724568-2492484,ctrl_p01_c1,water,P001:191 seq1 control,water,Batch7_0306 DATA,water
155 / P1_FA_0064,155,20200306_ecoli_4GHz_0155.d,20200320153725584-2492485,20200306_Plate1_064,P1_FA_0064,P001:193 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0064
156 / P1_FA_0064,156,20200306_ecoli_4GHz_0156.d,20200320153726623-2492486,20200306_Plate1_064,P1_FA_0064,P001:194 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0064
157 / P1_FA_0064,157,20200306_ecoli_4GHz_0157.d,20200320153727675-2492487,20200306_Plate1_064,P1_FA_0064,P001:195 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0064
158 / water,158,20200306_ecoli_4GHz_0158.d,20200320153728682-2492488,ctrl_p01_c1,water,P001:196 seq1 control,water,Batch7_0306 DATA,water
159 / water,159,20200306_ecoli_4GHz_0159.d,20200320153729691-2492489,ctrl_p01_c2,water,P001:197 seq1 control,water,Batch7_0306 DATA,water
160 / P1_AA_1024,160,20200306_ecoli_4GHz_0160.d,20200320153730700-2492490,20200306_Plate1_054,P1_AA_1024,P001:198 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_1024
161 / P1_AA_1024,161,20200306_ecoli_4GHz_0161.d,20200320153731776-2492491,20200306_Plate1_054,P1_AA_1024,P001:199 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_1024
